         Sample#               E               M           <eps>             <m>             C_V        Suscept.
            1000            -800             400        0.221933       -0.111037        0.021936        -49.3167
            1100            -800             400        0.246879       -0.123515       0.0211542        -55.4765
            1200            -800             400        0.272384       -0.136276       0.0210666        -61.9036
            1300            -800             400        0.298469       -0.149328       0.0210219        -68.6117
            1400            -800             400        0.325184       -0.162689       0.0201273        -75.6222
            1500            -800             400         0.35252       -0.176363       0.0195882        -82.9439
            1600            -800             400         0.38049       -0.190358       0.0197978        -90.5904
            1700            -800             400        0.409147       -0.204693       0.0194842         -98.587
            1800            -800             400        0.438507        -0.21938       0.0192472         -106.95
            1900            -800             400        0.468564       -0.234421       0.0204668        -115.691
            2000            -800             400        0.499394       -0.249844       0.0205478        -124.845
            2100            -792             398        0.531006       -0.265659       0.0202583        -134.428
            2200            -792             398        0.563418       -0.281876       0.0204433        -144.462
            2300            -800             400        0.596673       -0.298514       0.0205335        -154.976
            2400            -800             400        0.630808       -0.315592        0.020382        -165.998
            2500            -800             400         0.66584       -0.333122       0.0206118        -177.553
            2600            -800             400        0.701838        -0.35113       0.0204994        -189.681
            2700            -792             398        0.738789       -0.369624       0.0209292        -202.403
            2800            -800             400        0.776808       -0.388642       0.0205714        -215.775
            2900            -784             396        0.815882        -0.40819       0.0208448         -229.82
            3000            -800             400        0.856047       -0.428291       0.0213454        -244.579
            3100            -800             400        0.897396        -0.44898       0.0214206        -260.108
            3200            -800             400         0.93995       -0.470275        0.021658        -276.449
            3300            -792             398        0.983793        -0.49221       0.0215685        -293.662
            3400            -792             398         1.02892       -0.514797       0.0222098        -311.784
            3500            -800             400          1.0755       -0.538097        0.021875        -330.913
            3600            -800             400         1.12353       -0.562123        0.021639        -351.092
            3700            -800             400         1.17308       -0.586912       0.0213833        -372.396
            3800            -800             400          1.2242       -0.612493       0.0215367        -394.893
            3900            -800             400         1.27701       -0.638915       0.0215091         -418.68
            4000            -800             400         1.33159       -0.666222       0.0213352        -443.852
            4100            -800             400         1.38801       -0.694447       0.0215136        -470.496
            4200            -800             400         1.44636       -0.723647       0.0215445         -498.73
            4300            -800             400          1.5068       -0.753881       0.0214485        -528.686
            4400            -800             400         1.56937       -0.785187       0.0214719        -560.473
            4500            -800             400         1.63421       -0.817628       0.0217151        -594.238
            4600            -800             400         1.70146       -0.851274       0.0218053        -630.147
            4700            -784             396         1.77121       -0.886178       0.0225811        -668.352
            4800            -800             400         1.84362       -0.922422       0.0231933        -709.054
            4900            -800             400         1.91895       -0.960108       0.0231251        -752.497
            5000            -800             400         1.99727       -0.999294       0.0230945        -798.872
            5100            -800             400         2.07873        -1.04007       0.0234123        -848.425
            5200            -800             400         2.16368        -1.08256       0.0231769        -901.494
            5300            -792             398         2.25219        -1.12685       0.0231686         -958.34
            5400            -800             400          2.3446        -1.17308       0.0229791        -1019.35
            5500            -792             398         2.44109        -1.22136       0.0229341        -1084.88
            5600            -800             400         2.54198        -1.27183       0.0227648         -1155.4
            5700            -800             400         2.64751        -1.32464       0.0229895        -1231.35
            5800            -800             400          2.7581        -1.37997       0.0229053        -1313.33
            5900            -800             400          2.8741        -1.43801       0.0228389        -1401.94
            6000            -800             400         2.99587        -1.49894        0.022818        -1497.88
            6100            -800             400         3.12393          -1.563       0.0226455        -1601.95
            6200            -800             400         3.25873        -1.63044       0.0225071        -1715.05
            6300            -800             400         3.40083        -1.70152       0.0222889        -1838.21
            6400            -800             400         3.55071        -1.77653       0.0225019        -1972.54
            6500            -800             400         3.70922        -1.85584       0.0224974        -2119.47
            6600            -800             400         3.87701         -1.9398       0.0226202        -2280.51
            6700            -800             400         4.05501        -2.02886       0.0226524        -2457.48
            6800            -800             400         4.24408        -2.12348       0.0228289        -2652.45
            6900            -800             400         4.44541        -2.22421       0.0228236         -2867.9
            7000            -800             400         4.66017        -2.33166       0.0227816        -3106.66
            7100            -800             400         4.88974        -2.44652       0.0227158        -3372.11
            7200            -800             400         5.13573         -2.5696       0.0226481        -3668.24
            7300            -800             400         5.39995        -2.70179       0.0225663        -3999.81
            7400            -800             400         5.68443        -2.84413       0.0226119        -4372.48
            7500            -800             400         5.99176        -2.99788       0.0224437        -4793.24
            7600            -800             400         6.32457        -3.16441       0.0226607        -5270.26
            7700            -800             400         6.68632        -3.34542       0.0228693        -5813.95
            7800            -800             400         7.08099         -3.5429       0.0229313           -6437
            7900            -800             400         7.51333        -3.75921       0.0228119        -7155.27
            8000            -800             400          7.9889        -3.99714       0.0227175        -7988.58
            8100            -800             400         8.51455        -4.26013       0.0225892        -8962.33
            8200            -800             400         9.09854        -4.55232       0.0226169        -10109.1
            8300            -800             400         9.75126        -4.87889       0.0225346        -11471.6
            8400            -800             400         10.4855        -5.24627       0.0225826        -13106.4
            8500            -800             400         11.3177        -5.66263       0.0225917        -15089.6
            8600            -800             400         12.2685        -6.13844       0.0227514        -17525.8
            8700            -800             400         13.3659        -6.68749       0.0227818        -20562.1
            8800            -800             400          14.646          -7.328       0.0229856        -24408.9
            8900            -792             398         16.1589          -8.085       0.0231419        -29378.5
            9000            -800             400         17.9745        -8.99343       0.0230733        -35947.5
            9100            -800             400         20.1934        -10.1037       0.0232151        -44872.3
            9200            -800             400          22.967        -11.4915       0.0233727        -57415.1
            9300            -800             400         26.5333        -13.2759       0.0233887        -75806.2
            9400            -800             400         31.2882        -15.6551       0.0233812         -104290
            9500            -800             400         37.9452        -18.9859       0.0234767         -151775
            9600            -800             400         47.9307        -23.9822       0.0234566         -239644
            9700            -800             400         64.5734        -32.3094       0.0234017         -430472
            9800            -800             400         97.8591        -48.9638       0.0233194         -978552
            9900            -800             400         197.717        -98.9272       0.0232093    -3.95417e+06
           10000            -792             398            -inf             inf       0.0232681            -nan
           10100            -800             400        -201.711         100.926       0.0231946    -4.03406e+06
           10200            -800             400        -101.854         50.9625       0.0232614     -1.0185e+06
           10300            -792             398        -68.5677         34.3079       0.0234298         -457099
           10400            -800             400        -51.9252         25.9808       0.0233569         -259616
           10500            -800             400        -41.9393         20.9844       0.0234548         -167751
           10600            -800             400        -35.2824         17.6536       0.0234618         -117603
           10700            -800             400        -30.5274         15.2744       0.0234178        -87217.6
           10800            -800             400        -26.9612           13.49       0.0233536        -67400.3
           10900            -800             400        -24.1873         12.1021       0.0234081        -53747.4
           11000            -800             400        -21.9682         10.9918       0.0234203        -43934.7
