         Sample#               E               M           <eps>             <m>             C_V        Suscept.
           10000              -8               4            -inf             inf       0.0223686            -nan
           10100              -8               4         -201.72         100.905       0.0221475        -40323.7
           10200              -8               4         -101.86         50.9525       0.0219306        -10180.9
           10300              -8               4        -68.5733         34.3017        0.021718        -4569.24
           10400              -8               4          -51.93         25.9763       0.0215095        -2595.18
           10500              -8               4         -41.944          20.981       0.0213049         -1676.9
           10600              -8               4        -35.2867         17.6508       0.0211042        -1175.62
           10700              -8               4        -30.5286         15.2714       0.0223985        -871.795
           10800              -8               4        -26.9625         13.4875       0.0221914        -673.713
           10900              -8               4        -24.1867         12.0994       0.0234518        -537.201
           11000              -8               4         -21.968         10.9895       0.0232389        -439.129
           11100              -8               4        -20.1527         10.0814       0.0230298         -366.22
           11200              -8               4          -18.64         9.32458       0.0228245        -310.502
           11300              -8               4        -17.3585         8.68385       0.0240346        -266.911
           11400              -8               4        -16.2614           8.135       0.0238241        -232.181
           11500              -8               4        -15.3107         7.65933       0.0236172        -204.032
           11600              -8               4        -14.4787         7.24313       0.0234139        -180.886
           11700              -8              -4        -13.7424         6.87529       0.0259407        -161.586
           11800              -8              -4          -13.09         6.54889       0.0257212        -145.364
           11900              -8              -4        -12.5063         6.25684       0.0255054        -131.572
           12000              -8              -4         -11.981           5.994       0.0252932        -119.743
           12100              -8              -4        -11.5057         5.75619       0.0250845        -109.517
           12200              -8              -4        -11.0736            5.54       0.0248792        -100.613
           12300              -8              -4        -10.6791         5.34261       0.0246773        -92.8095
           12400              -8              -4        -10.3175         5.16167       0.0244786        -85.9304
           12500              -8              -4         -9.9848          4.9952        0.024283        -79.8329
           12600              -8              -4        -9.67769         4.84154       0.0240906        -74.4012
           12700              -8              -4        -9.39333         4.69926       0.0239012        -69.5403
           12800              -8              -4        -9.12929         4.56714       0.0237147        -65.1716
           12900              -8              -4        -8.88345         4.44414       0.0235312        -61.2297
           13000              -8               4        -8.65267           4.329       0.0258044        -57.6503
           13100              -8               4        -8.43806         4.22161       0.0256077        -54.4068
           13200              -8               4        -8.23687         4.12094        0.025414        -51.4498
           13300              -8               4        -8.04788         4.02636       0.0252233        -48.7458
           13400              -8               4           -7.87         3.93735       0.0250353        -46.2663
           13500              -8               4        -7.70229         3.85343       0.0248502        -43.9865
           13600              -8               4        -7.54389         3.77417       0.0246677        -41.8851
           13700              -8               4        -7.39405         3.69919        0.024488        -39.9436
           13800              -8               4        -7.25105         3.62789       0.0266222        -38.1396
           13900              -8               4        -7.11641         3.56051        0.026431        -36.4716
           14000              -8               4         -6.9885          3.4965       0.0262425        -34.9205
           14100              -8               4        -6.86683         3.43561       0.0260567        -33.4756
           14200              -8               4        -6.75095         3.37762       0.0258735        -32.1271
           14300              -8               4        -6.64047         3.32233       0.0256929        -30.8663
           14400              -8              -4        -6.53364          3.2692       0.0288367        -29.6787
           14500              -8              -4        -6.43289         3.21878       0.0286382        -28.5717
           14600              -8              -4        -6.33652         3.17054       0.0284424        -27.5318
           14700              -8              -4        -6.24426         3.12436       0.0282493        -26.5536
           14800              -8              -4        -6.15583          3.0801       0.0280587        -25.6321
           14900              -8              -4        -6.07102         3.03765       0.0278707         -24.763
           15000              -8              -4         -5.9896          2.9969       0.0276853        -23.9422
           15100              -8              -4        -5.91137         2.95775       0.0275022        -23.1662
           15200              -8              -4        -5.83615          2.9201       0.0273216        -22.4315
           15300              -8              -4        -5.76377         2.88387       0.0271433        -21.7353
           15400              -8              -4        -5.69407         2.84898       0.0269674        -21.0747
           15500              -8              -4        -5.62691         2.81536       0.0267937        -20.4475
           15600              -8               4        -5.56179         2.78277       0.0276444        -19.8479
           15700              -8               4         -5.4993         2.75149       0.0274686        -19.2805
           15800              -8               4        -5.43897         2.72129        0.027295        -18.7402
           15900              -8               4        -5.38068         2.69212       0.0271237        -18.2251
           16000              -8               4        -5.32433         2.66392       0.0269544        -17.7336
           16100              -8               4        -5.26984         2.63664       0.0267873        -17.2644
           16200              -8               4         -5.2171         2.61024       0.0266222        -16.8159
           16300              -8               4        -5.16603         2.58468       0.0264592        -16.3869
           16400              -8               4        -5.11656         2.55992       0.0262981        -15.9764
           16500              -8               4        -5.06862         2.53592        0.026139        -15.5832
           16600              -8               4        -5.02212         2.51265       0.0259818        -15.2062
           16700              -8               4        -4.97701         2.49007       0.0258264        -14.8447
           16800              -8               4        -4.93324         2.46816        0.025673        -14.4977
           16900              -8               4        -4.89072         2.44688       0.0255213        -14.1645
           17000              -8               4        -4.84943         2.42621       0.0253714        -13.8442
           17100              -8               4         -4.8093         2.40613       0.0252233        -13.5362
           17200              -8               4        -4.77028          2.3866       0.0250769        -13.2399
           17300              -8               4        -4.73233          2.3676       0.0249321        -12.9546
           17400              -8               4        -4.69541         2.34912       0.0247891        -12.6798
           17500              -8               4        -4.65947         2.33113       0.0246476         -12.415
           17600              -8               4        -4.62447         2.31362       0.0245078        -12.1596
           17700              -8               4        -4.59039         2.29656       0.0243695        -11.9132
           17800              -8               4        -4.55718         2.27994       0.0242328        -11.6754
           17900              -8               4        -4.52481         2.26373       0.0240977        -11.4457
           18000              -8               4        -4.49325         2.24794        0.023964        -11.2238
           18100              -8               4        -4.46247         2.23253       0.0238318        -11.0092
           18200              -8               4        -4.43244          2.2175       0.0237011        -10.8018
           18300              -8               4        -4.40313         2.20283       0.0235717        -10.6011
           18400              -8               4        -4.37452         2.18851       0.0234438        -10.4068
           18500              -8               4        -4.34659         2.17453       0.0233173        -10.2187
           18600              -8               4         -4.3193         2.16087       0.0231921        -10.0364
           18700              -8               4        -4.29264         2.14753       0.0230682        -9.85982
           18800              -8               4        -4.26659         2.13449       0.0229457         -9.6886
           18900              -8               4        -4.24112         2.12174       0.0228245        -9.52254
           19000              -8               4        -4.21622         2.10928       0.0227045        -9.36143
           19100              -8               4        -4.19187         2.09709       0.0225858        -9.20507
           19200              -8               4        -4.16804         2.08516       0.0224684        -9.05325
           19300              -8               4        -4.14473         2.07349       0.0223521         -8.9058
           19400              -8              -4         -4.1217         2.06197       0.0230595        -8.76121
           19500              -8              -4        -4.09937         2.05079       0.0229414          -8.622
           19600              -8              -4         -4.0775         2.03984       0.0228245        -8.48666
           19700              -8              -4        -4.05608         2.02912       0.0227088        -8.35504
           19800              -8              -4         -4.0351         2.01862       0.0225943          -8.227
           19900              -8              -4        -4.01455         2.00833       0.0224809         -8.1024
