         Sample#               E               M           <eps>             <m>             C_V        Suscept.
            1000            -800             400        0.221963       -0.111044       0.0197084        -49.3236
            1100            -800             400        0.246913       -0.123524       0.0188923        -55.4846
            1200            -800             400        0.272415       -0.136284       0.0191993        -61.9108
            1300            -800             400        0.298494       -0.149334       0.0196331        -68.6175
            1400            -800             400        0.325214       -0.162697       0.0186478        -75.6292
            1500            -800             400        0.352553       -0.176371       0.0181173        -82.9517
            1600            -800             400        0.380532       -0.190368        0.018078        -90.6006
            1700            -800             400        0.409186       -0.204703       0.0182315        -98.5963
            1800            -800             400         0.43854       -0.219388       0.0184764        -106.958
            1900            -800             400        0.468589       -0.234427       0.0199097        -115.697
            2000            -800             400        0.499411       -0.249849       0.0202016        -124.849
            2100            -792             398        0.531019       -0.265662       0.0200442        -134.431
            2200            -792             398        0.563423       -0.281877       0.0202603        -144.463
            2300            -800             400        0.596684       -0.298517       0.0202789        -154.978
            2400            -800             400         0.63083       -0.315597        0.019935        -166.003
            2500            -800             400        0.665871       -0.333129        0.019911        -177.561
            2600            -800             400        0.701857       -0.351134       0.0202351        -189.685
            2700            -792             398        0.738804       -0.369626       0.0207889        -202.406
            2800            -800             400        0.776818       -0.388642        0.020521        -215.776
            2900            -784             396        0.815896       -0.408192       0.0206374        -229.823
            3000            -792             398        0.856053       -0.428291       0.0215059        -244.578
            3100            -800             400        0.897404        -0.44898       0.0215376        -260.108
            3200            -800             400        0.939962       -0.470276       0.0217349         -276.45
            3300            -800             400         0.98381       -0.492212       0.0216679        -293.664
            3400            -792             398         1.02894       -0.514801       0.0223571        -311.789
            3500            -800             400         1.07553       -0.538103       0.0218974        -330.921
            3600            -800             400         1.12356       -0.562129       0.0216597          -351.1
            3700            -800             400         1.17311       -0.586917       0.0214346        -372.403
            3800            -800             400         1.22424       -0.612499       0.0215723        -394.901
            3900            -800             400         1.27705       -0.638923       0.0214832        -418.691
            4000            -800             400         1.33163       -0.666227       0.0213986         -443.86
            4100            -800             400         1.38804       -0.694453       0.0215611        -470.504
            4200            -800             400         1.44641       -0.723657       0.0214786        -498.743
            4300            -800             400         1.50684       -0.753888       0.0214659        -528.696
            4400            -800             400          1.5694       -0.785192       0.0216428         -560.48
            4500            -800             400         1.63423       -0.817631       0.0219353        -594.242
            4600            -800             400         1.70147       -0.851275       0.0221549        -630.148
            4700            -784             396         1.77123       -0.886177       0.0227536        -668.351
            4800            -800             400         1.84365       -0.922423       0.0232479        -709.055
            4900            -800             400         1.91896       -0.960105       0.0232735        -752.493
            5000            -800             400         1.99727        -0.99929       0.0233272        -798.866
            5100            -800             400         2.07874        -1.04007       0.0236459        -848.422
            5200            -800             400         2.16368        -1.08256       0.0234504        -901.487
            5300            -792             398          2.2522        -1.12685       0.0235577        -958.333
