         Sample#               E               M           <eps>             <m>             C_V        Suscept.
            5400            -800             400          2.3446        -1.17307       0.0233709        -1019.34
            5500            -792             398         2.44108        -1.22135       0.0233188        -1084.87
            5600            -800             400         2.54198        -1.27183        0.023122        -1155.39
            5700            -800             400          2.6475        -1.32463       0.0233499        -1231.34
            5800            -800             400         2.75809        -1.37996       0.0232901        -1313.31
            5900            -800             400          2.8741          -1.438       0.0231975        -1401.93
            6000            -800             400         2.99587        -1.49893        0.023181        -1497.86
            6100            -800             400         3.12393        -1.56299       0.0230026        -1601.94
            6200            -800             400         3.25871        -1.63043        0.022896        -1715.03
            6300            -800             400         3.40079        -1.70151       0.0227459        -1838.18
            6400            -800             400          3.5507        -1.77652       0.0228508        -1972.52
            6500            -800             400         3.70919        -1.85583       0.0229259        -2119.44
            6600            -800             400         3.87702         -1.9398       0.0229541         -2280.5
            6700            -800             400           4.055        -2.02885       0.0229682        -2457.47
            6800            -800             400         4.24406        -2.12347       0.0231739        -2652.42
            6900            -800             400          4.4454         -2.2242       0.0231469        -2867.87
            7000            -800             400         4.66017        -2.33166        0.023042        -3106.65
            7100            -800             400         4.88973        -2.44652       0.0229887        -3372.09
            7200            -800             400         5.13573        -2.56959       0.0229012        -3668.23
            7300            -800             400          5.3999        -2.70177       0.0229269        -3999.76
            7400            -800             400         5.68438        -2.84411       0.0229242        -4372.42
            7500            -800             400          5.9917        -2.99786       0.0227676        -4793.17
            7600            -800             400         6.32452        -3.16439       0.0229203         -5270.2
            7700            -800             400         6.68623         -3.3454       0.0232037        -5813.87
            7800            -800             400         7.08091        -3.54288       0.0231974        -6436.92
            7900            -800             400         7.51323        -3.75918       0.0231039        -7155.16
            8000            -800             400         7.98877        -3.99711        0.023035        -7988.44
            8100            -800             400         8.51443        -4.26009       0.0228888        -8962.18
            8200            -800             400          9.0984        -4.55228       0.0229053        -10108.9
            8300            -800             400         9.75113        -4.87886       0.0228058        -11471.4
            8400            -800             400         10.4854        -5.24624       0.0227848        -13106.2
            8500            -800             400         11.3175         -5.6626       0.0228218        -15089.4
            8600            -800             400         12.2684        -6.13841       0.0229144        -17525.6
            8700            -800             400         13.3657        -6.68745       0.0229752        -20561.8
            8800            -800             400         14.6458        -7.32795        0.023153        -24408.6
            8900            -792             398         16.1586        -8.08495       0.0232223        -29378.1
            9000            -792             398         17.9742        -8.99336       0.0232265          -35947
            9100            -800             400          20.193        -10.1036       0.0234207        -44871.6
            9200            -800             400         22.9667        -11.4914       0.0235802        -57414.3
            9300            -800             400          26.533        -13.2758       0.0235352        -75805.4
            9400            -800             400         31.2879         -15.655       0.0235381         -104289
            9500            -800             400         37.9449        -18.9858       0.0235118         -151773
            9600            -792             398         47.9303        -23.9821       0.0235031         -239641
            9700            -800             400         64.5727        -32.3092       0.0234711         -430467
            9800            -800             400         97.8577        -48.9634       0.0234673         -978537
            9900            -800             400         197.714        -98.9266       0.0233216    -3.95413e+06
           10000            -792             398            -inf             inf       0.0232965            -nan
           10100            -800             400        -201.709         100.925       0.0232566    -4.03402e+06
           10200            -800             400        -101.853         50.9622       0.0233939    -1.01849e+06
           10300            -800             400        -68.5672         34.3078       0.0234683         -457096
           10400            -800             400        -51.9249         25.9807       0.0233842         -259614
           10500            -800             400        -41.9392         20.9844       0.0234982         -167750
           10600            -800             400        -35.2823         17.6535       0.0234729         -117603
           10700            -800             400        -30.5274         15.2744        0.023397        -87217.4
           10800            -800             400        -26.9612           13.49       0.0233329        -67400.1
           10900            -800             400        -24.1872         12.1021        0.023419        -53747.1
           11000            -800             400        -21.9682         10.9918       0.0234057        -43934.6
